shop_name,category,name_product,product_id,url_product,main_ingredient,attributes,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,is_premium,rarity_score
Экоферма ОГО-РОД,Бакалея,уксус яблочный с базиликом,154340,https://svoe-rodnoe.ru/category/organicheskie-produkty/10060-111-uksus-jablochnyj-s-bazilikom,уксус,"[""яблочный"", ""базилик""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Экоферма ОГО-РОД,Овощи и фрукты,клубника сублимированная,151363,https://svoe-rodnoe.ru/category/dried-fruits/10060-1234-klubnika-sublimrovannaja,клубника,"[""сублимировать""]",0,0,0,0,0,1,1,0,0,0,0,0,0,11
ШААКЕН ДОРФ,Бакалея,"какао тертое, крафт-пакет, 100 гр",179994,https://svoe-rodnoe.ru/category/kofe-i-kakao/10127-108-kakao-tertoe-kraft-paket-100-gr,какао,"[""тёртый"", ""крафт"", ""пакет""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Экоферма ОГО-РОД,Бакалея,смесь семян для салата,126752,https://svoe-rodnoe.ru/category/superfudy-i-semena/10060-14-smes-semjan-dlja-salata,смесь,"[""семя"", ""салат""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Экоферма ОГО-РОД,Бакалея,уксус из черноплодной рябины 500 мл,170404,https://svoe-rodnoe.ru/category/grocery/10060-99-uksus-iz-chernoplodnoj-rjabiny-500-ml,уксус,"[""черноплодный"", ""рябина""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Экоферма ОГО-РОД,Бакалея,уксус яблочный,156606,https://svoe-rodnoe.ru/category/organicheskie-produkty/10060-44565667-uksus-jablochnyj,уксус,"[""яблочный""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Экоферма ОГО-РОД,Бакалея,цветы липы для заваривания 50 гр,170408,https://svoe-rodnoe.ru/category/chai-i-travy/10060-00000-cvety-lipy-dlja-zavarivanija-50-gr,цветок,"[""липа"", ""заваривание""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Экоферма ОГО-РОД,Овощи и фрукты,малина,63200,https://svoe-rodnoe.ru/category/berries/10060-02-malina,малина,[],0,0,0,0,0,0,1,1,0,0,0,0,0,11
БИО ферма улиток,Рыба и морепродукты,"икра улитки helix aspersa pomatia, 30 г.",34578,https://svoe-rodnoe.ru/category/caviar/10227-0017-ikra-ulitki-helix-aspersa-pomatia-30-g,икра,"[""улитка"", ""helix"", ""aspersa"", ""pomatia""]",1,1,1,1,1,1,1,1,1,1,1,1,1,1
БИО ферма улиток,Рыба и морепродукты,"икра улитки helix aspersa pomatia, 60 г.",34580,https://svoe-rodnoe.ru/category/moreprodukty/10227-0018-ikra-ulitki-helix-aspersa-pomatia-60-g,икра,"[""улитка"", ""helix"", ""aspersa"", ""pomatia""]",1,1,1,1,1,1,1,1,1,1,1,1,1,1
БИО ферма улиток,Рыба и морепродукты,икра улитки helix aspersa классическая 500 г.,34583,https://svoe-rodnoe.ru/category/caviar/10227-0021-ikra-ulitki-helix-aspersa-klassicheskaja-500-g,икра,"[""улитка"", ""helix"", ""aspersa"", ""классический""]",1,1,1,1,1,1,1,1,1,1,1,1,1,1
БИО ферма улиток,Рыба и морепродукты,улитки варёно-мороженые в раковине 2000 гр.,34577,https://svoe-rodnoe.ru/category/moreprodukty/10227-0016-ulitki-varjono-morozhenye-v-rakovine-2000-gr,улитка,"[""варёный"", ""мороженое"", ""раковина""]",1,1,1,1,1,1,1,1,1,1,1,1,1,1
БИО ферма улиток,Рыба и морепродукты,улитки в соусе ароматный (с хреном),34565,https://svoe-rodnoe.ru/category/drugie-moreprodukty/10227-0004-ulitki-v-souse-aromatnyj-s-hrenom,улитка,"[""соус"", ""ароматный"", ""хрен""]",1,1,1,1,1,1,1,1,1,1,1,1,1,1
БИО ферма улиток,Рыба и морепродукты,филе улитки готовое 500 гр.,34572,https://svoe-rodnoe.ru/category/drugie-moreprodukty/10227-0013-file-ulitki-gotovoe-500-gr,филе,"[""улитка"", ""готовый""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
БИО ферма улиток,Рыба и морепродукты,улитки варёно-мороженые в раковине 3000 гр.,34575,https://svoe-rodnoe.ru/category/drugie-moreprodukty/10227-0015-ulitki-varjono-morozhenye-v-rakovine-3000-gr,улитка,"[""варёный"", ""мороженое"", ""раковина""]",1,1,1,1,1,1,1,1,1,1,1,1,1,1
БИО ферма улиток,Рыба и морепродукты,филе улитки готовое 1000 гр.,34573,https://svoe-rodnoe.ru/category/drugie-moreprodukty/10227-0014-file-ulitki-gotovoe-1000-gr,филе,"[""улитка"", ""готовый""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Бакалея,икра баклажанная,26788,https://svoe-rodnoe.ru/category/ovoschi-konservirovannye/10619-003-000032-ikra-baklazhannaja,икра,"[""баклажанный""]",1,1,1,1,1,1,1,1,1,1,1,1,1,1
Никитин Ферм,Бакалея,тушенка говядина,26800,https://svoe-rodnoe.ru/category/stew/10619-003-000007-tushenka-govjadina,тушёнка,"[""говядина""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Бакалея,холодец свинина-говядина,26774,https://svoe-rodnoe.ru/category/zakuski-salaty-i-supy/10619-003-000001-holodec-svinina-govjadina,холодец,"[""свинина"", ""говядина""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,баранина мякоть,26631,https://svoe-rodnoe.ru/category/mutton/10619-004-000040-baranina-mjakot,баранина,"[""мякоть""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,баранина рёбра,26632,https://svoe-rodnoe.ru/category/baran-i-rebryshki/10619-004-000041-baranina-rjobra,баранина,"[""ребро""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,баранина шейка,24864,https://svoe-rodnoe.ru/category/mutton/10619-0006-baranina-shejka,баранина,"[""шейк""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,говядина грудинка-ребра,25915,https://svoe-rodnoe.ru/category/grudinka-govjazh-ja/10619-004-000018-govjadina-grudinka-rebra,говядина,"[""грудинка"", ""ребро""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
Никитин Ферм,Мясо и птица,говяжьи ноги,25950,https://svoe-rodnoe.ru/category/subprodukty/10619-004-000023-govjadina-nogi,нога,"[""говяжий""]",1,1,1,1,1,1,1,1,1,1,1,1,0,1
